Timestep,Environment,Total_Capacity,Cognitive_Entropy,Spectral_Resilience_Psi,ESI_Delta,Mean_Interference,Active_Channels
0,CAMAE,254.86104512452286,5.922276703373881,145.12236192193217,0.07772329662602662,2.5993273611058105e-07,64
1,CAMAE,254.02781293007726,5.910468955280177,145.54544933434394,0.01180774809370444,2.4907711566048354e-07,64
2,CAMAE,253.14439917570252,5.900453543619478,144.83071118681542,0.010015411660698526,2.654826196727578e-07,64
3,CAMAE,252.95738616922193,5.892084369865522,145.5326641479561,0.008369173753956183,2.4451585662288545e-07,64
4,CAMAE,251.60868855907916,5.885164802296748,144.32909200923945,0.006919567568774099,1.827392930737425e-07,64
5,CAMAE,251.53946370270006,5.879487878340012,144.6858159999049,0.005676923956735358,2.339227231177019e-07,64
6,CAMAE,251.90530422182098,5.874857210215524,145.98057393060145,0.004630668124488757,2.0249903485858373e-07,64
7,CAMAE,251.464597366484,5.871096285602935,145.59455525190495,0.003760924612588923,2.108705473276367e-07,64
8,CAMAE,251.13444860780618,5.868051840110608,146.04247312536504,0.0030444454923266306,2.902109743492085e-07,64
9,CAMAE,251.30035760269232,5.865593462116399,146.54622038996294,0.0024583779942091155,3.0678654875170355e-07,64
10,CAMAE,250.22517454350685,5.863612390890282,144.63068786977814,0.001981071226117237,1.8450950832060892e-07,64
11,CAMAE,250.1896561850076,5.862018297336489,144.60234885441588,0.00159409355379303,2.817644255821914e-07,64
12,CAMAE,251.19441916028467,5.860737215519393,146.57373222882413,0.0012810818170958527,2.4134259168920825e-07,64
13,CAMAE,251.09952508519603,5.85970860966001,146.64625647742434,0.001028605859382914,2.42343063633448e-07,64
14,CAMAE,250.0571243349999,5.858883279709575,144.96550285668113,0.0008253299504348277,2.1442063383461815e-07,64
15,CAMAE,251.28680114605103,5.85822153426491,147.35417764633075,0.0006617454446651294,2.5108625153760616e-07,64
16,CAMAE,249.8157741849604,5.8576912168024275,144.37169096829285,0.0005303174624824436,2.3646470136634841e-07,64
17,CAMAE,249.93925507399047,5.857266286946551,144.770475263743,0.0004249298558764991,3.463857425246583e-07,64
18,CAMAE,250.8796450505662,5.856925912308796,147.27584144796367,0.0003403746377550476,2.788247454282559e-07,64
19,CAMAE,250.05441387532193,5.856653409348274,144.8903136172218,0.00027250296052194756,2.7366151964693325e-07,64
20,CAMAE,249.91166000114902,5.856435247142337,144.81784537789866,0.0002181622059369559,3.32619361963736e-07,64
21,CAMAE,250.6150565802892,5.856260536885454,146.58988706827475,0.0001747102568829817,2.3607924526608724e-07,64
22,CAMAE,251.00004445810472,5.85612080004695,146.8451082185098,0.00013973683850387886,2.9270861601320163e-07,64
23,CAMAE,250.49737715578692,5.856008936364436,146.37542777632075,0.00011186368251436818,2.179953265945612e-07,64
24,CAMAE,250.7424084511274,5.8559194168424105,146.6967120561509,8.951952202540525e-05,2.6884745174679284e-07,64
25,CAMAE,250.49106086032586,5.855847770337725,146.63890100505546,7.164650468549638e-05,2.2554580868968614e-07,64
26,CAMAE,250.38339754011915,5.8557904764334925,146.0846633264547,5.7293904232480486e-05,2.423697376116883e-07,64
27,CAMAE,250.71687596579517,5.855744566015715,146.143509884479,4.5910417777683676e-05,2.549674932346506e-07,64
28,CAMAE,250.4287882016057,5.855707904459688,145.6695279167916,3.666155602655152e-05,2.0485330021833827e-07,64
29,CAMAE,250.4664960729515,5.855678525318272,145.2534931192648,2.9379141416541188e-05,2.0633200298027693e-07,64
30,CAMAE,250.65763943643788,5.855655015542762,146.11408784525014,2.350977550946709e-05,2.1000544839368193e-07,64
31,CAMAE,250.65317180558372,5.855636246524298,146.3660429410376,1.8769018463871134e-05,2.2990751901222e-07,64
32,CAMAE,250.15927955628428,5.855621225210436,144.8003183302886,1.5021313862106922e-05,2.3757266888630798e-07,64
33,CAMAE,250.75118771224803,5.855609170832842,146.59399694036716,1.2054377593884169e-05,2.0156328607804495e-07,64
34,CAMAE,250.8085542689572,5.855599579058744,146.62578831918051,9.591774098538508e-06,2.453982719224286e-07,64
35,CAMAE,250.2718650426032,5.855591824961968,146.09784910638186,7.754096776224628e-06,3.241272494169044e-07,64
36,CAMAE,250.11437885463064,5.855585703339424,145.21351564588016,6.121622543986405e-06,3.373328272295815e-07,64
37,CAMAE,250.5439639950239,5.85558077391076,146.3785598244479,4.929428663480451e-06,2.695082840205071e-07,64
38,CAMAE,251.44057923380308,5.85557682047113,147.51046925014143,3.953439629889033e-06,2.390680774329636e-07,64
39,CAMAE,250.2610507835851,5.855573658388435,146.17746900450754,3.1620826952405423e-06,2.7295045671698563e-07,64
40,CAMAE,250.9598424564793,5.855571167651123,146.53282371847035,2.4907373123994603e-06,3.245142520358543e-07,64
41,CAMAE,250.42900266142254,5.8555691158806615,145.83856040614015,2.0517704610867327e-06,3.0888131243794816e-07,64
42,CAMAE,250.7564705597177,5.855567520209883,146.25763016894888,1.5956707786202173e-06,1.9779121249820506e-07,64
43,CAMAE,250.36887723335528,5.8555662244801105,146.01284319313197,1.2957297723659167e-06,2.4436301009103647e-07,64
44,CAMAE,249.99319240934864,5.855565187937773,145.6877684067618,1.036542337295998e-06,2.0802999145301067e-07,64
45,CAMAE,250.89622019529372,5.85556434830581,146.76205751209022,8.396319630676885e-07,1.8218821830633445e-07,64
46,CAMAE,250.6640157889583,5.855563764240733,146.21948609525782,5.840650771915534e-07,2.744249916672086e-07,64
47,CAMAE,250.02440675926277,5.8555631674884125,144.42058860587656,5.967523204475356e-07,2.6730589063620067e-07,64
48,CAMAE,250.198630249757,5.855562799967233,146.0389701923573,3.6752117971161624e-07,2.3735565518223227e-07,64
49,CAMAE,249.81927135522773,5.85556237697573,145.8157423143042,4.229915031572773e-07,2.5454299824099376e-07,64
50,CAMAE,250.45971898303037,5.855562184387853,145.49306731905025,1.92587876313155e-07,2.7609157502087664e-07,64
51,CAMAE,251.04030366366106,5.855561868913763,147.26316534759985,3.154740904065534e-07,2.033403147326997e-07,64
52,CAMAE,250.9893026452679,5.855561744468155,146.87955079945993,1.2444560759661272e-07,2.5256539252241695e-07,64
53,CAMAE,251.34971924666675,5.855561604126752,147.2889754041234,1.4034140338736734e-07,2.7933455749969895e-07,64
54,CAMAE,250.84596327043155,5.855561465630544,145.9733904449617,1.3849620827954823e-07,2.558078279662501e-07,64
55,CAMAE,250.0642591504527,5.855561422555645,145.34262952563157,4.3074898314898746e-08,2.358166287957938e-07,64
56,CAMAE,250.05033558330754,5.855561279522044,144.8289117062696,1.4303360096334927e-07,2.705397401849117e-07,64
57,CAMAE,251.36077549305503,5.85556130579908,147.43747085233318,2.627703565849515e-08,1.875400145169303e-07,64
58,CAMAE,250.40378391846292,5.855561248454795,146.2974603321749,5.734428487613741e-08,2.0161993367193403e-07,64
59,CAMAE,249.95323535689886,5.855561265924301,145.45659306307618,1.746950584191609e-08,2.1764437265701467e-07,64
60,CAMAE,250.87624699145238,5.855561235904956,146.85021624926023,3.001934523183536e-08,2.0056331820248673e-07,64
