Timestep,Environment,Total_Capacity,Cognitive_Entropy,Spectral_Resilience_Psi,ESI_Delta,Mean_Interference,Active_Channels
0,CWF,259.70373626753246,5.999999999999908,143.2283549551733,0.0,2.5993273611058105e-07,64
1,CWF,259.6109935886169,5.999999999999908,143.1494922629727,0.0,2.4907711566048354e-07,64
2,CWF,259.3581073176292,5.999999999999908,142.68362900263753,0.0,2.654826196727578e-07,64
3,CWF,259.6998535491256,5.999999999999908,143.23219326251822,0.0,2.4451585662288545e-07,64
4,CWF,258.78969678572014,5.999999999999908,141.76982413022873,0.0,1.827392930737425e-07,64
5,CWF,259.08122304786957,5.999999999999908,142.23376843958874,0.0,2.339227231177019e-07,64
6,CWF,259.7419939481693,5.999999999999908,143.31657292391588,0.0,2.0249903485858373e-07,64
7,CWF,259.541274091388,5.999999999999908,143.01187820019854,0.0,2.108705473276367e-07,64
8,CWF,259.40569523118654,5.999999999999908,142.81144169655403,0.0,2.902109743492085e-07,64
9,CWF,259.7289187265856,5.999999999999908,143.29529407708867,0.0,3.0678654875170355e-07,64
10,CWF,258.7806383173496,5.999999999999908,141.7965837987546,0.0,1.8450950832060892e-07,64
11,CWF,258.847319799197,5.999999999999908,141.834116737491,0.0,2.817644255821914e-07,64
12,CWF,259.9342709625738,5.999999999999908,143.64437770972887,0.0,2.4134259168920825e-07,64
13,CWF,259.9054037491783,5.999999999999908,143.57391693991465,0.0,2.42343063633448e-07,64
14,CWF,258.91600494028347,5.999999999999908,142.00021720260634,0.0,2.1442063383461815e-07,64
15,CWF,260.18819362886063,5.999999999999908,144.04193614333533,0.0,2.5108625153760616e-07,64
16,CWF,258.75124512605396,5.999999999999908,141.70455064929413,0.0,2.3646470136634841e-07,64
17,CWF,258.9020384836464,5.999999999999908,141.9208285607874,0.0,3.463857425246583e-07,64
18,CWF,259.864310183947,5.999999999999908,143.5334803016523,0.0,2.788247454282559e-07,64
19,CWF,259.05660003905734,5.999999999999908,142.22172509362872,0.0,2.7366151964693325e-07,64
20,CWF,258.9278749474557,5.999999999999908,141.97166174586047,0.0,3.32619361963736e-07,64
21,CWF,259.6425072252487,5.999999999999908,143.14537337228603,0.0,2.3607924526608724e-07,64
22,CWF,260.0364823255143,5.999999999999908,143.83076341302518,0.0,2.9270861601320163e-07,64
23,CWF,259.5410100092979,5.999999999999908,143.00930394358153,0.0,2.179953265945612e-07,64
24,CWF,259.79179940879396,5.999999999999908,143.4054064409174,0.0,2.6884745174679284e-07,64
25,CWF,259.54506048680554,5.999999999999908,143.00873755907824,0.0,2.2554580868968614e-07,64
26,CWF,259.4410827078585,5.999999999999908,142.85249186067225,0.0,2.423697376116883e-07,64
27,CWF,259.77751448242213,5.999999999999908,143.37261884417873,0.0,2.549674932346506e-07,64
28,CWF,259.49178514309153,5.999999999999908,142.93462960544488,0.0,2.0485330021833827e-07,64
29,CWF,259.53138299942407,5.999999999999908,142.99218888316636,0.0,2.0633200298027693e-07,64
30,CWF,259.7240387880262,5.999999999999908,143.2866313684337,0.0,2.1000544839368193e-07,64
31,CWF,259.72077861528953,5.999999999999908,143.28004516548933,0.0,2.2990751901222e-07,64
32,CWF,259.22785273531196,5.999999999999908,142.4875205013625,0.0,2.3757266888630798e-07,64
33,CWF,259.82053638552725,5.999999999999908,143.40069485457204,0.0,2.0156328607804495e-07,64
34,CWF,259.8785200159136,5.999999999999908,143.5674177672156,0.0,2.453982719224286e-07,64
35,CWF,259.3423296447405,5.999999999999908,142.67441622485703,0.0,3.241272494169044e-07,64
36,CWF,259.18523729293923,5.999999999999908,142.41711470834818,0.0,3.373328272295815e-07,64
37,CWF,259.6151395667072,5.999999999999908,143.101936398727,0.0,2.695082840205071e-07,64
38,CWF,260.512009139728,5.999999999999908,144.55735956852428,0.0,2.390680774329636e-07,64
39,CWF,259.3326841172779,5.999999999999908,142.63823922833222,0.0,2.7295045671698563e-07,64
40,CWF,260.03163603430323,5.999999999999908,143.81910901560616,0.0,3.245142520358543e-07,64
41,CWF,259.50092823652415,5.999999999999908,142.89325085569652,0.0,3.0888131243794816e-07,64
42,CWF,259.828498801632,5.999999999999908,143.43345938772936,0.0,1.9779121249820506e-07,64
43,CWF,259.44098883014556,5.999999999999908,142.80122462834257,0.0,2.4436301009103647e-07,64
44,CWF,259.0653706908065,5.999999999999908,142.1822164016055,0.0,2.0802999145301067e-07,64
45,CWF,259.9684525003529,5.999999999999908,143.6968410274767,0.0,1.8218821830633445e-07,64
46,CWF,259.7362856571441,5.999999999999908,143.30352228059303,0.0,2.744249916672086e-07,64
47,CWF,259.09671503101663,5.999999999999908,142.2617473360534,0.0,2.6730589063620067e-07,64
48,CWF,259.2709621689262,5.999999999999908,142.54324332514992,0.0,2.3735565518223227e-07,64
49,CWF,258.8916304818803,5.999999999999908,141.91133507046115,0.0,2.5454299824099376e-07,64
50,CWF,259.5320905045412,5.999999999999908,142.95783948426055,0.0,2.7609157502087664e-07,64
51,CWF,260.1126954675368,5.999999999999908,143.93203609640966,0.0,2.033403147326997e-07,64
