Timestep,Environment,Total_Capacity,Cognitive_Entropy,Spectral_Resilience_Psi,ESI_Delta,Mean_Interference,Active_Channels
0,SUA,259.70348895744314,5.999999999999908,143.2283549551733,0.0,2.5993273611058105e-07,64
1,SUA,259.6105655701216,5.999999999999908,143.1494922629727,0.0,2.4907711566048354e-07,64
2,SUA,259.3578017611459,5.999999999999908,142.68362900263753,0.0,2.654826196727578e-07,64
3,SUA,259.6995830164784,5.999999999999908,143.23219326251822,0.0,2.4451585662288545e-07,64
4,SUA,258.78933220970885,5.999999999999908,141.76982413022873,0.0,1.827392930737425e-07,64
5,SUA,259.08089670923687,5.999999999999908,142.23376843958874,0.0,2.339227231177019e-07,64
6,SUA,259.74168354745467,5.999999999999908,143.31657292391588,0.0,2.0249903485858373e-07,64
7,SUA,259.5409030387889,5.999999999999908,143.01187820019854,0.0,2.108705473276367e-07,64
8,SUA,259.40526969820894,5.999999999999908,142.81144169655403,0.0,2.902109743492085e-07,64
9,SUA,259.72860804644966,5.999999999999908,143.29529407708867,0.0,3.0678654875170355e-07,64
10,SUA,258.7801726446095,5.999999999999908,141.7965837987546,0.0,1.8450950832060892e-07,64
11,SUA,258.8470408707378,5.999999999999908,141.834116737491,0.0,2.817644255821914e-07,64
12,SUA,259.933944379502,5.999999999999908,143.64437770972887,0.0,2.4134259168920825e-07,64
13,SUA,259.9051256388215,5.999999999999908,143.57391693991465,0.0,2.42343063633448e-07,64
14,SUA,258.91557887249,5.999999999999908,142.00021720260634,0.0,2.1442063383461815e-07,64
15,SUA,260.1879291017475,5.999999999999908,144.04193614333533,0.0,2.5108625153760616e-07,64
16,SUA,258.75089436337294,5.999999999999908,141.70455064929413,0.0,2.3646470136634841e-07,64
17,SUA,258.9017625587898,5.999999999999908,141.9208285607874,0.0,3.463857425246583e-07,64
18,SUA,259.8639714943839,5.999999999999908,143.5334803016523,0.0,2.788247454282559e-07,64
19,SUA,259.05620502049186,5.999999999999908,142.22172509362872,0.0,2.7366151964693325e-07,64
