Timestep,Environment,Total_Capacity,Cognitive_Entropy,Spectral_Resilience_Psi,ESI_Delta,Mean_Interference,Active_Channels
0,CWF,216.89608473719338,5.999999999999908,131.87901204261425,0.0,6.554052798161035e-09,59
1,CWF,203.97703834433946,5.999999999999908,111.46399500407409,0.0,1.106464462783908e-08,61
2,CWF,210.12877111507512,5.999999999999908,119.43957998890254,0.0,8.40226415861931e-09,59
3,CWF,231.9341310533721,5.999999999999908,160.57808869678166,0.0,1.0114071552796111e-08,63
4,CWF,213.06854085281867,5.999999999999908,137.73424810510232,0.0,1.0557198023798436e-08,60
5,CWF,232.64613927223382,5.999999999999908,153.84563537471462,0.0,8.404387986155582e-09,63
6,CWF,240.27963266162027,5.999999999999908,173.2168221478444,0.0,8.941208050106441e-09,61
7,CWF,226.2618780378455,5.999999999999908,146.5291315801518,0.0,8.105605483089024e-09,61
8,CWF,222.2616841792576,5.999999999999908,136.05072944234277,0.0,7.123125979029347e-09,62
9,CWF,207.52306592126988,5.999999999999908,123.53414666840311,0.0,9.124628661417808e-09,58
10,CWF,235.1427648727396,5.999999999999908,166.8539218378885,0.0,1.1018985022075203e-08,61
11,CWF,216.470401038406,5.999999999999908,141.59625805653644,0.0,7.312742659502299e-09,62
12,CWF,209.46111437684357,5.999999999999908,128.12971067940126,0.0,1.3435303433403202e-08,61
13,CWF,225.06763840003373,5.999999999999908,148.4293305898694,0.0,9.06658304762093e-09,61
14,CWF,224.88860797892272,5.999999999999908,158.2954645380568,0.0,8.483242501254717e-09,61
15,CWF,222.8191343900865,5.999999999999908,150.6154106186469,0.0,9.376033730043135e-09,57
16,CWF,217.2706927329663,5.999999999999908,130.32992693485858,0.0,8.487225701089643e-09,59
17,CWF,222.5359068066308,5.999999999999908,157.4615711047313,0.0,9.745263588044261e-09,62
18,CWF,224.11529232658353,5.999999999999908,147.4732677315479,0.0,1.2786180817942558e-08,61
19,CWF,218.61528767658172,5.999999999999908,131.752404645945,0.0,8.449317297367182e-09,61
20,CWF,205.38910795369287,5.999999999999908,119.40226645105216,0.0,9.667246730902552e-09,58
21,CWF,218.9605660950397,5.999999999999908,140.5312255470772,0.0,9.510832214319533e-09,58
22,CWF,204.98973528235035,5.999999999999908,105.35413241447765,0.0,1.0915663883952514e-08,60
23,CWF,223.68803149954437,5.999999999999908,138.5681310562916,0.0,1.2577417085195813e-08,61
24,CWF,208.93720761947742,5.999999999999908,122.15517111507165,0.0,1.3197019825267135e-08,59
25,CWF,237.9339065031539,5.999999999999908,163.10602253242067,0.0,1.0060787057499659e-08,61
26,CWF,222.13084955184348,5.999999999999908,130.17306261715467,0.0,1.2973435824572758e-08,62
27,CWF,233.79882916711557,5.999999999999908,145.95863065981126,0.0,1.0566329602653595e-08,64
28,CWF,240.0498342686618,5.999999999999908,160.44611532208373,0.0,9.015988518936336e-09,58
29,CWF,232.01015931454737,5.999999999999908,151.11914344757614,0.0,7.978950969809263e-09,62
30,CWF,218.62336642780144,5.999999999999908,137.24551726023338,0.0,8.839593144918797e-09,57
31,CWF,219.02906071387116,5.999999999999908,133.82627680726688,0.0,1.0270189732795621e-08,60
32,CWF,221.64468972456842,5.999999999999908,132.89762700868735,0.0,1.077381662376046e-08,62
33,CWF,230.04942950371833,5.999999999999908,159.14316618061343,0.0,7.320894192864215e-09,60
34,CWF,224.16328303358085,5.999999999999908,134.46065454207297,0.0,1.3074501247487095e-08,60
35,CWF,218.24011374032943,5.999999999999908,145.30444143441522,0.0,7.605164122660706e-09,63
36,CWF,222.20144603271785,5.999999999999908,128.07700316039796,0.0,8.685827743531897e-09,60
37,CWF,221.01314498690684,5.999999999999908,137.15606789619295,0.0,1.3863791170748307e-08,62
38,CWF,226.05932464081457,5.999999999999908,152.70101240308313,0.0,1.4465706840006204e-08,63
39,CWF,218.05476388418822,5.999999999999908,144.14617206531918,0.0,1.1170279061615137e-08,59
40,CWF,214.26508545242132,5.999999999999908,129.69287027384706,0.0,8.962860221625066e-09,58
41,CWF,223.98583722413116,5.999999999999908,164.98390888655618,0.0,9.606068625614712e-09,59
42,CWF,210.75118618901058,5.999999999999908,125.38739509601774,0.0,1.0250619074163369e-08,60
43,CWF,225.0645023866815,5.999999999999908,141.6756527679299,0.0,8.247461482112118e-09,57
44,CWF,228.95957646839886,5.999999999999908,142.48237404425058,0.0,1.068722074674807e-08,61
45,CWF,217.65982911666777,5.999999999999908,125.29514081668428,0.0,1.1440159905969863e-08,60
46,CWF,236.240839663092,5.999999999999908,150.33925697125443,0.0,8.293560866459704e-09,62
47,CWF,233.88603619367524,5.999999999999908,170.88653061735192,0.0,1.0685191946349392e-08,60
48,CWF,238.1827048606077,5.999999999999908,165.39994969374496,0.0,9.626867754456185e-09,60
49,CWF,229.3723175347036,5.999999999999908,165.27593767430687,0.0,1.3024438078687014e-08,58
50,CWF,220.29861766530905,5.999999999999908,146.72811565285414,0.0,1.1609301778143918e-08,63
51,CWF,237.9992505046791,5.999999999999908,161.1767920212298,0.0,7.902330788285518e-09,63
52,CWF,229.5940955493105,5.999999999999908,150.65547601863503,0.0,1.1443702185415936e-08,62
53,CWF,225.93310166636573,5.999999999999908,144.43243661030013,0.0,1.0847509201292382e-08,62
54,CWF,217.99236935254092,5.999999999999908,145.1087362746338,0.0,1.0024732045875767e-08,60
55,CWF,217.00508897432377,5.999999999999908,126.0120684270671,0.0,1.1952964614536405e-08,61
56,CWF,246.34671105268012,5.999999999999908,172.9990123617593,0.0,1.0541325831385257e-08,63
57,CWF,232.90049175705582,5.999999999999908,167.1357455252014,0.0,1.1025866443326238e-08,59
58,CWF,229.72006460905325,5.999999999999908,152.71242412975118,0.0,7.054517540083584e-09,59
59,CWF,230.85215686641507,5.999999999999908,144.7114700468348,0.0,1.1570278756687225e-08,63
60,CWF,238.401574798122,5.999999999999908,174.95109787341914,0.0,8.684839723748405e-09,61
61,CWF,219.87844527442812,5.999999999999908,127.63048401785228,0.0,7.866783545510535e-09,63
62,CWF,223.15981453937502,5.999999999999908,131.8309445337248,0.0,8.554261376195316e-09,62
63,CWF,221.99069015040453,5.999999999999908,143.4011192384693,0.0,7.343398352858206e-09,63
64,CWF,234.82245549227335,5.999999999999908,156.04349388697673,0.0,1.2138966229576031e-08,62
65,CWF,223.79694875321317,5.999999999999908,143.510415678634,0.0,1.1167002120585103e-08,57
66,CWF,232.78653279116665,5.999999999999908,145.6904900886673,0.0,8.126297174074576e-09,62
67,CWF,234.6894252333715,5.999999999999908,147.77953741224687,0.0,7.085589269147231e-09,60
68,CWF,227.81451173145365,5.999999999999908,146.91808928351088,0.0,8.154593127401316e-09,60
69,CWF,231.25417668041172,5.999999999999908,151.27953551727896,0.0,9.36390751373744e-09,60
70,CWF,226.35476545416316,5.999999999999908,139.54731499801633,0.0,8.629035362474686e-09,60
71,CWF,222.56259901615192,5.999999999999908,130.79770338607258,0.0,9.220015227755487e-09,62
72,CWF,213.30947288354923,5.999999999999908,134.68834460660722,0.0,1.208434411493379e-08,61
73,CWF,220.46495942046485,5.999999999999908,128.00661404124145,0.0,1.0004132931246914e-08,61
74,CWF,219.33569940764605,5.999999999999908,116.5498608959805,0.0,1.0004383047601238e-08,60
75,CWF,212.47935309917443,5.999999999999908,121.06365614242645,0.0,1.008048835323073e-08,57
76,CWF,233.9676714570469,5.999999999999908,157.31110046791596,0.0,6.4094192930443575e-09,62
77,CWF,199.33649964378594,5.999999999999908,110.55311877299705,0.0,9.989249983548118e-09,60
78,CWF,221.4026282377505,5.999999999999908,134.01046855137506,0.0,9.780295900635982e-09,61
79,CWF,213.08873384725965,5.999999999999908,118.69746364186689,0.0,8.205865864237299e-09,60
80,CWF,210.78362433639958,5.999999999999908,140.23633277282306,0.0,9.718543225402656e-09,62
81,CWF,220.11948748959267,5.999999999999908,141.883962886448,0.0,9.498499661278406e-09,59
82,CWF,227.99707726230423,5.999999999999908,158.46220741010166,0.0,1.0476953132401455e-08,60
83,CWF,236.95424691872097,5.999999999999908,169.49657959927717,0.0,1.0422994074172093e-08,62
84,CWF,242.54214196109217,5.999999999999908,166.30446627278678,0.0,1.308279502555378e-08,63
85,CWF,219.79286339913966,5.999999999999908,131.06249136662566,0.0,7.233170820535359e-09,58
86,CWF,226.60108163416993,5.999999999999908,139.61891917239942,0.0,1.1947248746290686e-08,61
87,CWF,231.15787674552607,5.999999999999908,150.2085942214244,0.0,1.035579368491638e-08,61
88,CWF,223.46030219430116,5.999999999999908,128.9574702865521,0.0,1.0690317063155865e-08,60
89,CWF,202.4734472524824,5.999999999999908,106.82439760077743,0.0,9.542371909385423e-09,58
90,CWF,217.1820242672852,5.999999999999908,132.8856815803347,0.0,7.816507361059005e-09,64
91,CWF,215.2183307049479,5.999999999999908,134.900878620571,0.0,1.0615896247528492e-08,63
92,CWF,240.2363422619954,5.999999999999908,184.96837495200833,0.0,1.0170749937118006e-08,60
93,CWF,236.25740054692855,5.999999999999908,150.3984516911058,0.0,1.062672535204494e-08,62
94,CWF,224.58238655569141,5.999999999999908,147.83305580200437,0.0,9.982302139500086e-09,60
95,CWF,233.7191371735929,5.999999999999908,155.9566644024326,0.0,1.1172575479540653e-08,61
96,CWF,234.77576922387567,5.999999999999908,159.07718082427536,0.0,6.252966008434761e-09,62
97,CWF,211.59326285213174,5.999999999999908,128.40721351337294,0.0,9.198528473264284e-09,59
98,CWF,231.6743615561943,5.999999999999908,159.60470124397816,0.0,1.0169523155446958e-08,60
99,CWF,208.23607100639424,5.999999999999908,123.20109173684125,0.0,1.5275765043954834e-08,58
100,CWF,231.5511680184079,5.999999999999908,163.60809033171603,0.0,1.0269164261546394e-08,61
101,CWF,245.69905482606674,5.999999999999908,162.4689227401405,0.0,9.673599668196617e-09,63
102,CWF,204.60989242358028,5.999999999999908,108.04385996780478,0.0,1.161938114215485e-08,60
103,CWF,226.33742638134507,5.999999999999908,162.13261114439874,0.0,1.086418792553073e-08,61
104,CWF,198.62314647437302,5.999999999999908,104.77782832389619,0.0,1.1690260124567161e-08,59
105,CWF,224.50057794472752,5.999999999999908,149.1356683159402,0.0,8.80630718888718e-09,61
106,CWF,216.7453860433588,5.999999999999908,148.73790091358302,0.0,1.1698561771199219e-08,59
107,CWF,204.02963011142077,5.999999999999908,122.16074658461737,0.0,1.0844113242088353e-08,57
108,CWF,211.9228486812666,5.999999999999908,143.60033555264818,0.0,9.352221314232954e-09,60
109,CWF,247.40148475033902,5.999999999999908,190.46808761850372,0.0,1.3636165586087603e-08,63
110,CWF,217.09099445750542,5.999999999999908,131.61572083206156,0.0,1.0752587451440238e-08,61
111,CWF,221.02842145079387,5.999999999999908,130.1798669445409,0.0,7.917773488636792e-09,61
112,CWF,227.87974643663276,5.999999999999908,161.79525476542648,0.0,1.2638286975837784e-08,60
113,CWF,230.24380378376947,5.999999999999908,141.28375598060015,0.0,7.723080744869436e-09,61
114,CWF,221.6796269923708,5.999999999999908,132.8970068250981,0.0,1.1833447855629702e-08,61
115,CWF,223.68319257852886,5.999999999999908,145.50005498073386,0.0,1.0709655596504779e-08,62
116,CWF,228.82558088243977,5.999999999999908,149.59909064266154,0.0,7.0165737800978035e-09,62
117,CWF,212.4626072213191,5.999999999999908,128.00431188109113,0.0,7.059694681428077e-09,59
118,CWF,210.5712098196135,5.999999999999908,139.5381213369914,0.0,1.0794277475677864e-08,56
119,CWF,228.49680012919603,5.999999999999908,145.91390071956735,0.0,6.300221277455015e-09,61
120,CWF,234.4150036737494,5.999999999999908,172.5673581420453,0.0,9.114915491492904e-09,62
121,CWF,238.97938806955227,5.999999999999908,176.52250490420684,0.0,7.535121167708103e-09,61
122,CWF,241.9264794683698,5.999999999999908,184.3243145590787,0.0,8.641702086332146e-09,62
123,CWF,221.7525750445422,5.999999999999908,138.56962719059496,0.0,1.0756084845900313e-08,60
124,CWF,219.76970412820833,5.999999999999908,138.24762487623906,0.0,8.506024021319981e-09,63
125,CWF,206.49231929116502,5.999999999999908,119.0618123320885,0.0,1.3391245089005121e-08,59
126,CWF,232.11148984454167,5.999999999999908,137.64654479935385,0.0,8.812665804323333e-09,63
127,CWF,217.58707235843588,5.999999999999908,131.34527398977548,0.0,1.1571047572381432e-08,61
128,CWF,225.67446019502205,5.999999999999908,135.51862024403812,0.0,8.731139840540236e-09,61
129,CWF,208.3377940847148,5.999999999999908,113.72141659684672,0.0,6.961683871941299e-09,60
130,CWF,224.12609240472014,5.999999999999908,136.2993421597389,0.0,8.657422964489357e-09,63
131,CWF,234.9568286349405,5.999999999999908,159.76497279849013,0.0,8.833697613672359e-09,63
132,CWF,236.36711973463798,5.999999999999908,178.45554514443413,0.0,7.596103911607788e-09,58
133,CWF,226.63936453202285,5.999999999999908,136.66643252114844,0.0,8.749646642246664e-09,60
134,CWF,242.41202365022693,5.999999999999908,166.1398795311189,0.0,7.962596649560964e-09,63
135,CWF,223.2831005495949,5.999999999999908,126.25549125897324,0.0,1.0168894072243807e-08,63
136,CWF,237.32218657597306,5.999999999999908,156.85811057298014,0.0,9.835103517119528e-09,61
137,CWF,222.91479014229958,5.999999999999908,147.88789512976174,0.0,1.0792370434513513e-08,60
138,CWF,215.60309683192742,5.999999999999908,131.4466252102696,0.0,1.4294992503406071e-08,59
139,CWF,199.92878219022674,5.999999999999908,109.58901852834116,0.0,9.226654242357531e-09,61
140,CWF,204.38292358032646,5.999999999999908,113.62045688005041,0.0,1.0173606331489091e-08,63
141,CWF,233.06745483916,5.999999999999908,155.48312320657516,0.0,8.450414543452586e-09,62
142,CWF,220.80621619539556,5.999999999999908,141.77792748346786,0.0,9.568708031984378e-09,60
143,CWF,217.57757696140766,5.999999999999908,133.346621940689,0.0,6.361928454452179e-09,61
144,CWF,227.33710368184364,5.999999999999908,148.62445658710598,0.0,1.3463236958992962e-08,62
145,CWF,217.40542122535498,5.999999999999908,131.3617347501309,0.0,7.097113882097898e-09,61
146,CWF,213.74593018623094,5.999999999999908,127.65790447180294,0.0,8.713924141226735e-09,62
147,CWF,233.37639794841644,5.999999999999908,147.28064518462187,0.0,1.065199797438564e-08,63
148,CWF,235.6122336322145,5.999999999999908,158.2347993735017,0.0,9.740499171645787e-09,59
149,CWF,206.21184344774042,5.999999999999908,123.49760454873544,0.0,9.657541678013216e-09,59
150,CWF,223.0758691795111,5.999999999999908,132.7188726343293,0.0,8.433398826101242e-09,61
151,CWF,221.87473698693577,5.999999999999908,131.48870421309232,0.0,1.18630010897713e-08,61
152,CWF,209.01676729473004,5.999999999999908,124.32706462630507,0.0,5.652074953932336e-09,61
153,CWF,209.7009793787497,5.999999999999908,115.48501324664161,0.0,9.313322495259061e-09,61
154,CWF,212.0221885491604,5.999999999999908,124.12387446886443,0.0,7.985631106605874e-09,60
155,CWF,211.42028897478957,5.999999999999908,116.94994053631662,0.0,7.0508448034475936e-09,58
156,CWF,249.03171223879696,5.999999999999908,181.2281778037957,0.0,8.322154099169052e-09,63
157,CWF,238.81822297485206,5.999999999999908,180.55417168821313,0.0,1.003193686755007e-08,62
158,CWF,229.18105402682244,5.999999999999908,146.9892041216242,0.0,1.1930352436702323e-08,64
159,CWF,227.7314337811036,5.999999999999908,150.27286821960377,0.0,1.162634246757137e-08,60
160,CWF,215.6515989921857,5.999999999999908,135.04969245718414,0.0,9.469221219214907e-09,60
161,CWF,228.63257616122,5.999999999999908,142.3869000749962,0.0,8.452696954105392e-09,62
162,CWF,218.51581679807032,5.999999999999908,143.154075252518,0.0,1.1032194926993127e-08,60
163,CWF,187.62118515204827,5.999999999999908,88.54665114862709,0.0,1.5206213218438814e-08,59
164,CWF,202.90481215442054,5.999999999999908,113.52673019408228,0.0,9.734394827941486e-09,58
165,CWF,208.7683669060516,5.999999999999908,123.12633548786833,0.0,8.31265714019765e-09,59
166,CWF,234.79132999837728,5.999999999999908,162.1935216753629,0.0,9.705683662110394e-09,62
167,CWF,213.01359297886052,5.999999999999908,137.5338993575825,0.0,8.602957239417749e-09,58
168,CWF,220.79254211382982,5.999999999999908,125.19367735522138,0.0,1.138879516700422e-08,62
169,CWF,227.91352861727074,5.999999999999908,144.4301610861783,0.0,9.147334986967951e-09,60
170,CWF,234.91385291020538,5.999999999999908,153.25075595948718,0.0,9.253829973429624e-09,63
171,CWF,214.55027289345009,5.999999999999908,145.3469981591348,0.0,7.79577195018858e-09,61
172,CWF,218.79054427855854,5.999999999999908,131.6806061035845,0.0,1.0934730022157914e-08,60
173,CWF,233.66860611210734,5.999999999999908,155.84785523346022,0.0,1.0891736422864818e-08,62
174,CWF,212.69143603137837,5.999999999999908,131.04236379350505,0.0,1.0675180227667986e-08,57
175,CWF,221.61590584983435,5.999999999999908,131.8719447048222,0.0,9.931130411105949e-09,62
176,CWF,221.72194288432217,5.999999999999908,145.63195371182874,0.0,1.0376212034572902e-08,59
177,CWF,213.14187510980997,5.999999999999908,121.24983112263345,0.0,1.0402411088279893e-08,58
178,CWF,238.13841969490903,5.999999999999908,156.74052616483107,0.0,1.0423975739910725e-08,62
179,CWF,251.30113144878737,5.999999999999908,202.11007155212894,0.0,1.0385389863673664e-08,59
180,CWF,217.56596956951591,5.999999999999908,138.5770596593145,0.0,9.033085918390926e-09,61
181,CWF,211.67709282626828,5.999999999999908,114.85639996715106,0.0,1.0736991426132804e-08,62
182,CWF,237.14454318282105,5.999999999999908,151.84937074602155,0.0,1.1696135363874347e-08,63
183,CWF,221.5698490204983,5.999999999999908,140.4714051970535,0.0,9.826589332621352e-09,61
184,CWF,226.25555953170573,5.999999999999908,146.04709671840374,0.0,1.1272890625765405e-08,61
185,CWF,223.3811526106004,5.999999999999908,132.81824267379963,0.0,1.0806746902601416e-08,60
186,CWF,244.818148417624,5.999999999999908,170.08361352637198,0.0,1.2846789805600703e-08,61
187,CWF,215.64552472311436,5.999999999999908,130.52368749818342,0.0,1.0509643012007636e-08,61
188,CWF,217.12295032477186,5.999999999999908,135.79656125536067,0.0,8.658307075289975e-09,60
189,CWF,208.7679430116512,5.999999999999908,114.6637680178539,0.0,9.144848089242726e-09,59
190,CWF,219.99283070530927,5.999999999999908,132.61293809777985,0.0,8.90021133966536e-09,61
191,CWF,223.86516338982793,5.999999999999908,148.21764023926977,0.0,1.0171287361339662e-08,61
192,CWF,212.4026655793362,5.999999999999908,120.54378332385103,0.0,1.1382389854884387e-08,63
193,CWF,222.40838561189787,5.999999999999908,129.48121379937484,0.0,1.1519115662055608e-08,61
194,CWF,234.27811615120828,5.999999999999908,165.57743537220213,0.0,1.3014533660574644e-08,62
195,CWF,237.68566945827087,5.999999999999908,152.38461238126283,0.0,1.019432928805206e-08,62
196,CWF,226.90494052084765,5.999999999999908,149.39467014662225,0.0,1.1080541871548543e-08,60
197,CWF,217.60775140125725,5.999999999999908,141.45185574472814,0.0,9.96798702939425e-09,63
198,CWF,220.0240892542097,5.999999999999908,120.27987621098036,0.0,1.0550426547262255e-08,62
199,CWF,226.31526676370183,5.999999999999908,143.60258405454402,0.0,9.108535689071063e-09,61
200,CWF,206.26442584665466,5.999999999999908,114.25697202398406,0.0,1.0169885556758886e-08,60
201,CWF,235.58029431170024,5.999999999999908,155.2604052511056,0.0,1.2062498391675923e-08,59
202,CWF,214.17280232977697,5.999999999999908,145.8703317697875,0.0,1.2654065156199205e-08,62
203,CWF,204.9236991932603,5.999999999999908,113.91526251097075,0.0,9.224768806423182e-09,60
204,CWF,217.02270872898038,5.999999999999908,126.4378539216081,0.0,9.404370048643524e-09,61
205,CWF,233.12588201140716,5.999999999999908,154.66749225752113,0.0,1.234198715203328e-08,64
206,CWF,215.5579406424826,5.999999999999908,121.42102277539072,0.0,9.384659299721649e-09,62
207,CWF,225.25213378888327,5.999999999999908,155.83996553691287,0.0,9.305677453175488e-09,60
208,CWF,218.5294741739472,5.999999999999908,146.9250117360599,0.0,9.644250523788112e-09,62
209,CWF,211.0078193982809,5.999999999999908,133.11524519509172,0.0,9.693463554155905e-09,61
210,CWF,243.51681890288575,5.999999999999908,175.3286919330632,0.0,9.8563613891869e-09,63
211,CWF,215.6180744030927,5.999999999999908,130.59306130057,0.0,1.1343454223136282e-08,62
212,CWF,217.19019045638746,5.999999999999908,124.10045420412374,0.0,1.1107862833216877e-08,60
213,CWF,223.59936503373527,5.999999999999908,160.61705859993222,0.0,9.11238091123995e-09,60
214,CWF,213.44535597649806,5.999999999999908,124.21964378459576,0.0,8.421954529983608e-09,60
215,CWF,228.91362710867492,5.999999999999908,141.65937885772365,0.0,1.033177452133702e-08,62
216,CWF,219.46882422301468,5.999999999999908,144.78990646691153,0.0,9.349045847440002e-09,58
