Timestep,Environment,Total_Capacity,Cognitive_Entropy,Spectral_Resilience_Psi,ESI_Delta,Mean_Interference,Active_Channels
0,SUA,212.73703176235352,5.999999999999908,131.87901204261425,0.0,6.554052798161035e-09,64
1,SUA,201.16023874956264,5.999999999999908,111.46399500407409,0.0,1.106464462783908e-08,64
2,SUA,205.41508295983988,5.999999999999908,119.43957998890254,0.0,8.40226415861931e-09,64
3,SUA,230.45195110104234,5.999999999999908,160.57808869678166,0.0,1.0114071552796111e-08,64
4,SUA,208.73179280879572,5.999999999999908,137.73424810510232,0.0,1.0557198023798436e-08,64
5,SUA,230.87872108699088,5.999999999999908,153.84563537471462,0.0,8.404387986155582e-09,64
6,SUA,236.64839712612877,5.999999999999908,173.2168221478444,0.0,8.941208050106441e-09,64
7,SUA,222.27537614703314,5.999999999999908,146.5291315801518,0.0,8.105605483089024e-09,64
8,SUA,219.24088384479055,5.999999999999908,136.05072944234277,0.0,7.123125979029347e-09,64
9,SUA,202.85411142688463,5.999999999999908,123.53414666840311,0.0,9.124628661417808e-09,64
10,SUA,232.15701267644639,5.999999999999908,166.8539218378885,0.0,1.1018985022075203e-08,64
11,SUA,212.95741091103298,5.999999999999908,141.59625805653644,0.0,7.312742659502299e-09,64
12,SUA,206.23680426612577,5.999999999999908,128.12971067940126,0.0,1.3435303433403202e-08,64
13,SUA,221.9571004354919,5.999999999999908,148.4293305898694,0.0,9.06658304762093e-09,64
14,SUA,221.70864211268616,5.999999999999908,158.2954645380568,0.0,8.483242501254717e-09,64
15,SUA,216.37568934598963,5.999999999999908,150.6154106186469,0.0,9.376033730043135e-09,64
16,SUA,213.1463056229834,5.999999999999908,130.32992693485858,0.0,8.487225701089643e-09,64
17,SUA,218.83877915219068,5.999999999999908,157.4615711047313,0.0,9.745263588044261e-09,64
18,SUA,220.46408136494654,5.999999999999908,147.4732677315479,0.0,1.2786180817942558e-08,64
19,SUA,215.10545641496014,5.999999999999908,131.752404645945,0.0,8.449317297367182e-09,64
20,SUA,199.4783233388188,5.999999999999908,119.40226645105216,0.0,9.667246730902552e-09,64
21,SUA,213.30330300456285,5.999999999999908,140.5312255470772,0.0,9.510832214319533e-09,64
22,SUA,201.53828142762734,5.999999999999908,105.35413241447765,0.0,1.0915663883952514e-08,64
23,SUA,221.15104065809612,5.999999999999908,138.5681310562916,0.0,1.2577417085195813e-08,64
24,SUA,203.72769502410102,5.999999999999908,122.15517111507165,0.0,1.3197019825267135e-08,64
25,SUA,234.5381260440424,5.999999999999908,163.10602253242067,0.0,1.0060787057499659e-08,64
26,SUA,219.29844267537078,5.999999999999908,130.17306261715467,0.0,1.2973435824572758e-08,64
27,SUA,232.96318018067507,5.999999999999908,145.95863065981126,0.0,1.0566329602653595e-08,64
28,SUA,235.9809885583258,5.999999999999908,160.44611532208373,0.0,9.015988518936336e-09,64
29,SUA,229.10347733586508,5.999999999999908,151.11914344757614,0.0,7.978950969809263e-09,64
30,SUA,212.57502532256763,5.999999999999908,137.24551726023338,0.0,8.839593144918797e-09,64
31,SUA,215.20336303885725,5.999999999999908,133.82627680726688,0.0,1.0270189732795621e-08,64
32,SUA,219.8077330104931,5.999999999999908,132.89762700868735,0.0,1.077381662376046e-08,64
33,SUA,225.51547999799078,5.999999999999908,159.14316618061343,0.0,7.320894192864215e-09,64
34,SUA,221.4499171980819,5.999999999999908,134.46065454207297,0.0,1.3074501247487095e-08,64
35,SUA,216.33745575826367,5.999999999999908,145.30444143441522,0.0,7.605164122660706e-09,64
36,SUA,218.6995500636246,5.999999999999908,128.07700316039796,0.0,8.685827743531897e-09,64
37,SUA,218.69793805124016,5.999999999999908,137.15606789619295,0.0,1.3863791170748307e-08,64
38,SUA,224.00408729548394,5.999999999999908,152.70101240308313,0.0,1.4465706840006204e-08,64
39,SUA,211.65290885169352,5.999999999999908,144.14617206531918,0.0,1.1170279061615137e-08,64
40,SUA,207.26620596383765,5.999999999999908,129.69287027384706,0.0,8.962860221625066e-09,64
41,SUA,219.98060194616298,5.999999999999908,164.98390888655618,0.0,9.606068625614712e-09,64
42,SUA,207.5474560407339,5.999999999999908,125.38739509601774,0.0,1.0250619074163369e-08,64
43,SUA,218.47541954013315,5.999999999999908,141.6756527679299,0.0,8.247461482112118e-09,64
44,SUA,225.44251813430543,5.999999999999908,142.48237404425058,0.0,1.068722074674807e-08,64
45,SUA,214.08485855904365,5.999999999999908,125.29514081668428,0.0,1.1440159905969863e-08,64
46,SUA,233.93676539273608,5.999999999999908,150.33925697125443,0.0,8.293560866459704e-09,64
47,SUA,229.01685042024621,5.999999999999908,170.88653061735192,0.0,1.0685191946349392e-08,64
48,SUA,234.32747332087666,5.999999999999908,165.39994969374496,0.0,9.626867754456185e-09,64
49,SUA,225.302505147383,5.999999999999908,165.27593767430687,0.0,1.3024438078687014e-08,64
50,SUA,217.58731890020724,5.999999999999908,146.72811565285414,0.0,1.1609301778143918e-08,64
51,SUA,236.26374096060403,5.999999999999908,161.1767920212298,0.0,7.902330788285518e-09,64
52,SUA,227.1716701430572,5.999999999999908,150.65547601863503,0.0,1.1443702185415936e-08,64
53,SUA,224.1442253477946,5.999999999999908,144.43243661030013,0.0,1.0847509201292382e-08,64
54,SUA,214.07392017334433,5.999999999999908,145.1087362746338,0.0,1.0024732045875767e-08,64
